source_id,period_days,transit_depth_ppm,planet_radius_re,stellar_radius_rs,snr,epoch,label_raw,mission,label_coarse,label_binary
K00752.01,9.48803557,615.8,2.26,0.927,35.8,170.53875,CONFIRMED,KEPLER,CONFIRMED,1
K00752.02,54.4183827,874.8,2.83,0.927,25.8,162.51384,CONFIRMED,KEPLER,CONFIRMED,1
K00753.01,19.89913995,10829.0,14.6,0.868,76.3,175.850252,CANDIDATE,KEPLER,CANDIDATE,0
K00754.01,1.736952453,8079.2,33.46,0.791,505.6,170.307565,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K00755.01,2.525591777,603.3,2.75,1.046,40.9,171.59555,CONFIRMED,KEPLER,CONFIRMED,1
K00756.01,11.09432054,1517.5,3.9,0.972,66.5,171.20116,CONFIRMED,KEPLER,CONFIRMED,1
K00756.02,4.13443512,686.0,2.77,0.972,40.2,172.97937,CONFIRMED,KEPLER,CONFIRMED,1
K00756.03,2.56658897,226.5,1.59,0.972,15.0,179.55437,CONFIRMED,KEPLER,CONFIRMED,1
K00114.01,7.36178958,233.7,39.21,1.958,47.7,132.25053,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K00757.01,16.06864674,4914.3,5.76,0.848,161.9,173.621937,CONFIRMED,KEPLER,CONFIRMED,1
K00001.01,2.470613377,14231.0,13.04,0.964,4304.3,122.763305,CONFIRMED,KEPLER,CONFIRMED,1
K00002.01,2.204735417,6674.7,16.1,1.952,4355.5,121.3585417,CONFIRMED,KEPLER,CONFIRMED,1
K00010.01,3.522498429,9145.7,14.59,1.451,1741.5,121.1194228,CONFIRMED,KEPLER,CONFIRMED,1
K00112.02,3.709214104,131.1,1.16,1.022,50.6,133.98318,CONFIRMED,KEPLER,CONFIRMED,1
K00742.01,11.521446064,17984.0,150.51,0.848,622.1,170.839688,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K00743.01,19.40393776,8918.7,7.18,0.68,214.7,172.484253,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K00744.01,19.221388942,74284.0,49.29,0.947,2317.0,184.5521637,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K00745.01,16.46983774,10479.0,7.94,0.786,303.4,180.881761,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K00746.01,9.27358173,1288.3,2.47,0.696,87.2,173.258155,CONFIRMED,KEPLER,CONFIRMED,1
K00747.01,6.02930329,1912.7,2.85,0.672,65.4,171.602959,CONFIRMED,KEPLER,CONFIRMED,1
K00748.01,2.696370652,397.9,1.58,0.819,48.2,170.73769,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K00749.01,5.349553819,831.0,2.55,0.91,60.6,171.80694,CONFIRMED,KEPLER,CONFIRMED,1
K00749.02,3.94105221,363.3,1.7,0.91,28.9,136.08662,CONFIRMED,KEPLER,CONFIRMED,1
K00749.03,8.10904807,217.4,1.3,0.91,14.1,132.8031,CONFIRMED,KEPLER,CONFIRMED,1
K00113.01,386.6030528,24927.0,41.5,1.58,994.0,166.342079,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K00750.01,21.67699193,857.2,2.95,0.828,34.3,171.53594,CONFIRMED,KEPLER,CONFIRMED,1
K00751.01,4.99677968,934.7,2.78,0.847,28.2,171.74208,CONFIRMED,KEPLER,CONFIRMED,1
K00769.01,4.280963604,750.8,2.3,0.831,61.8,171.89659,CONFIRMED,KEPLER,CONFIRMED,1
K00770.01,1.50635409,2211.7,4.53,0.831,181.1,170.998064,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K00771.01,551.134255,18091.0,14.14,0.983,642.7,209.04355,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K00772.01,61.2563628,5123.3,39.87,1.091,85.3,173.83826,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
